StationId,Province,ProvinceCode,District,DistrictCode,Palika,PalikaCode
114/17_G,Madhesh,2,Rautahat,206,Boudhimai Municipality,20611
108/18_G,Madhesh,2,Rautahat,206,Chandrapur Municipality,20601
107/18_G,Madhesh,2,Parsa,208,Jirabhawani Rural Municipality,20802
113/12_G,Madhesh,2,Parsa,208,Birgunj Metropolitian City,20807
107/19_G,Madhesh,2,Parsa,208,Sakhuwa Prasauni Rural Municipality,20805
113/10_G,Madhesh,2,Parsa,208,Chhipaharmai Rural Municipality,20812
107/17_G,Madhesh,2,Parsa,208,Thori Rural Municipality,20801
113/11_G,Madhesh,2,Parsa,208,Pokhariya Municipality,20809
107/21_G,Madhesh,2,Parsa,208,Birgunj Metropolitian City,20807
114/11_G,Madhesh,2,Bara,207,Karaiyamai Rural Municipality,20709
108/17_G,Madhesh,2,Bara,207,Nijagadh Municipality,20701
107/20_G,Madhesh,2,Bara,207,Jitpur Simara Sub-Metropolitian City,20703
108/16_G,Madhesh,2,Bara,207,Jitpur Simara Sub-Metropolitian City,20703
114/10_G,Madhesh,2,Bara,207,Kalaiya Sub-Metropolitian City,20708
114/12_G,Madhesh,2,Bara,207,Kolhabi Municipality,20702
113/15_G,Madhesh,2,Bara,207,Kalaiya Sub-Metropolitian City,20708
114/16_G,Madhesh,2,Bara,207,Subarna Rural Municipality,20716
108/13_G,Bagmati,3,Makwanpur,312,Bagmati Rural Municipality,31210
107/16_G,Bagmati,3,Makwanpur,312,Hetauda Sub-Metropolitian City,31206
107/13_G,Bagmati,3,Makwanpur,312,Manahari Rural Municipality,31205
107/12_G,Bagmati,3,Makwanpur,312,Manahari Rural Municipality,31205
108/10_G,Bagmati,3,Makwanpur,312,Hetauda Sub-Metropolitian City,31206
108/12_G,Bagmati,3,Makwanpur,312,Bakaiya Rural Municipality,31209
108/15_G,Bagmati,3,Makwanpur,312,Bakaiya Rural Municipality,31209
107/15_G,Bagmati,3,Makwanpur,312,Hetauda Sub-Metropolitian City,31206
108/11_G,Bagmati,3,Makwanpur,312,Hetauda Sub-Metropolitian City,31206
108/14_G,Bagmati,3,Makwanpur,312,Bakaiya Rural Municipality,31209
107/10_G,Bagmati,3,Chitawan,313,Madi Municipality,31307
106/11_G,Bagmati,3,Chitawan,313,Madi Municipality,31307
100/10_G,Bagmati,3,Chitawan,313,Ratnanagar Municipality,31305
100/11_G,Bagmati,3,Chitawan,313,Ratnanagar Municipality,31305
106/10_G,Bagmati,3,Chitawan,313,Madi Municipality,31307
107/11_G,Bagmati,3,Parsa,208,Thori Rural Municipality,20801
101/11_G,Bagmati,3,Chitawan,313,Rapti Municipality,31301
101/10_G,Bagmati,3,Chitawan,313,Khairahani Municipality,31306
106/12_G,Bagmati,3,Chitawan,313,Madi Municipality,31307
